ticker,subindustry,market_enterprise_value_usd,our_base_growth_pct,market_implied_growth_pct,growth_expectations_gap_pct_points,growth_solver_residual_pct_of_market_ev,our_base_operating_margin_pct,market_implied_operating_margin_pct,margin_expectations_gap_pct_points,margin_solver_residual_pct_of_market_ev,our_base_roic_pct,market_implied_roic_pct,roic_expectations_gap_pct_points,roic_solver_residual_pct_of_market_ev,our_competitive_advantage_period_years,market_implied_competitive_advantage_period_years,cap_expectations_gap_years,cap_solver_residual_pct_of_market_ev,reverse_dcf_method,production_eligible_x,probability_weighted_fair_value,scenario_probability_sum,market_price,probability_weighted_value_gap_pct,production_eligible_y
FANG,ep,73002338287.24002,20.0,-27.0,47.0,0.1405082731527983,50.0,19.300000000000004,30.699999999999996,0.1809284661469836,15.746899375756083,3.4000000000000004,12.346899375756083,-2.244849552987566,5,2,3,116.83042749037682,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,628.7118039311752,1.0,210.72000122070312,198.3636106155283,False
HAL,services,34679956082.37158,0.22995905975000674,-10.899999999999999,11.129959059750005,-0.07508967535697801,13.32719405131007,11.0,2.3271940513100695,-0.3999961907729376,15.055002427183206,6.7,8.355002427183205,0.2184600374119306,5,20,-15,14.005917748882652,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,56.16839122105998,1.0,35.34000015258789,58.93715613622277,False
KMI,midstream,100909100933.41559,11.511156186612581,41.400000000000006,-29.888843813387425,-0.035985991837244664,27.04489493637857,48.400000000000006,-21.355105063621437,0.09047582002964175,5.2816385480989005,25.200000000000003,-19.918361451901102,0.01752595666271384,5,2,3,-42.72179774065593,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,11.958332730821652,1.0,30.979999542236328,-61.3998292204028,False
MGY,ep,5473504046.376756,-0.8319554298391874,-24.5,23.668044570160813,0.012463216271613715,45.488414931776006,26.6,18.888414931776005,0.13790418778993763,30.673019822640263,3.8000000000000003,26.873019822640263,0.6326277762296866,5,20,-15,51.68470424512941,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,57.6492212820504,1.0,28.13999938964844,104.86575171446945,False
MPC,refining,135981383333.56796,20.0,-1.5999999999999979,21.599999999999998,-0.04185573056683512,6.450869821050619,4.700000000000003,1.7508698210506157,-0.0836900332475885,14.031673591020162,6.5,7.531673591020162,-0.38842839920820704,5,1,4,16.70354336431301,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,696.09981867638,1.0,360.7200012207031,92.97510986935207,False
MTDR,ep,10688015024.896656,12.15205483000792,-30.0,42.15205483000792,18.00256699260704,42.68789823538322,14.0,28.687898235383223,0.001614012130974365,26.1338665390112,3.4000000000000004,22.733866539011203,-1.3972088967327116,5,2,3,171.81317404047655,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,241.35606824663193,1.0,58.380001068115234,313.42251426996074,False
NOG,ep,5406816318.962444,12.980183021620462,-14.399999999999999,27.38018302162046,-0.11212077940323613,25.20171480304018,15.600000000000001,9.601714803040178,-0.1936862052424653,15.649913152100314,5.6000000000000005,10.049913152100313,0.2671167532510348,5,1,4,45.50555068418059,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,84.68395571860356,1.0,27.34000015258789,209.74380119228977,False
OVV,ep,25152662918.82,-9.266864438867056,26.6,-35.866864438867054,0.0031898066628811,19.311086124067188,29.300000000000004,-9.988913875932816,-0.15966842494579556,12.489576022447302,60.0,-47.5104239775527,-31.42707086690382,5,1,4,-29.365445106842337,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,54.252682356769824,1.0,66.82,-18.807718711808096,False
PR,ep,23261182945.0,20.0,-1.3999999999999986,21.4,0.02546861172024951,35.30303962215461,28.1,7.203039622154606,-0.12359771264576615,10.119341583764463,6.300000000000001,3.819341583764462,-0.16327836882187555,5,1,4,13.03122694737289,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,30.283686694615987,1.0,23.75,27.510259766804147,False
PSX,refining,119349086349.70947,20.0,21.700000000000003,-1.7000000000000028,0.007114082306982482,4.720919975556704,4.800000000000001,-0.07908002444329654,-0.9489555876693317,10.920077218748204,11.700000000000001,-0.7799227812517966,0.034850028268947245,5,6,-1,1.4200030279093963,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,302.7632482271622,1.0,242.8699951171875,24.66062268460767,False
RRC,ep,10493656908.577919,-8.082438792071633,-9.099999999999998,1.017561207928365,-0.0975719674701624,29.594818219525802,29.0,0.594818219525802,0.02590668677230223,10.773810787933593,9.5,1.2738107879335931,0.037568974273034385,5,6,-1,-0.04664058736655118,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,52.73092203734663,1.0,41.060001373291016,28.424063014394818,False
SLB,services,87389754601.17613,1.4345538212909847,7.399999999999999,-5.965446178709014,-0.03374104343533318,16.606785714084978,18.1,-1.4932142859150233,-0.009899014990686622,15.290351670698232,40.400000000000006,-25.109648329301773,-0.0011347379272115717,5,2,3,-7.817387387501347,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,52.72724086065267,1.0,53.869998931884766,-2.121325587321876,False
SM,ep,8469651860.113743,20.0,-30.0,50.0,24.69704570985667,38.90377317506272,10.900000000000002,28.003773175062715,0.1919721058918553,24.93700911616774,3.2,21.73700911616774,-0.2960483596343198,5,1,4,195.00168329895365,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,126.36197383828522,1.0,37.20000076293945,239.6827184051391,False
VLO,refining,109345965978.9187,20.0,37.900000000000006,-17.900000000000006,-0.04702428055810094,4.171670748738388,5.600000000000001,-1.428329251261613,-0.6563971151660601,12.446855305986848,60.0,-47.553144694013156,-0.5119971674346022,5,12,-7,0.2245958899411276,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,347.1017753872942,1.0,348.8599853515625,-0.5039872837512394,False
WMB,midstream,115561145087.24384,6.25,50.0,-43.75,-14.423204088438915,29.172034977331442,60.0,-30.827965022668558,-16.121814040664724,6.437040160269092,60.0,-53.56295983973091,-37.79246030289054,5,20,-15,-58.263591952895986,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,20.483042244065924,1.0,70.48999786376953,-70.94191677569364,False
XOM,integrated,723598228447.695,15.0,15.100000000000001,-0.10000000000000142,-0.004639420938681973,14.353335290416052,14.399999999999999,-0.04666470958394697,0.18255952526169233,14.043177506886183,14.100000000000001,-0.056822493113818595,-0.022970363115839693,5,5,0,-0.1420925612399261,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False,181.28499739391407,1.0,165.11000061035156,9.796497319223207,False
